2012-04-01T13:01:55.148591+00:00,sim64a[15579]:,chat,3,177.33.96.209,edson,2,FedEx,nothin
2012-04-01T13:01:56.953636+00:00,sim64a[15579]:,chat,2,80.132.158.159,Client#2,9,The Waste Co.,Yes?
2012-04-01T13:06:06.906344+00:00,sim64a[15579]:,chat,3,177.33.96.209,edson,2,FedEx,don't overload pls :]
2012-04-01T13:07:34.818500+00:00,sim64a[15579]:,chat,3,177.33.96.209,edson,2,FedEx,:\
2012-04-01T13:21:23.668282+00:00,sim64a[15579]:,disconnect,3,177.33.96.209,edson
2012-04-01T13:52:02.047021+00:00,sim64a[15579]:,connect,3,177.33.96.209,edson
2012-04-01T13:57:18.456286+00:00,sim64a[15579]:,connect,4,71.200.68.118,Benjad
2012-04-01T13:59:04.024141+00:00,sim64a[15579]:,disconnect,3,177.33.96.209,edson
2012-04-01T13:59:05.303052+00:00,sim64a[15579]:,disconnect,4,71.200.68.118,Benjad
2012-04-01T13:59:14.114749+00:00,sim64a[15579]:,connect,3,177.33.96.209,edson
2012-04-01T13:59:21.049174+00:00,sim64a[15579]:,connect,4,71.200.68.118,Benjad
2012-04-01T14:05:00.819733+00:00,sim64a[15579]:,disconnect,4,71.200.68.118,Benjad
2012-04-01T14:05:26.273247+00:00,sim64a[15579]:,connect,4,78.9.93.57,Client#4
2012-04-01T14:14:09.603667+00:00,sim64a[15579]:,disconnect,4,78.9.93.57,Client#4
2012-04-01T14:27:31.832369+00:00,sim64a[15579]:,connect,4,71.200.68.118,Benjad
2012-04-01T14:28:44.802565+00:00,sim64a[15579]:,disconnect,4,71.200.68.118,Benjad
2012-04-01T14:29:30.298483+00:00,sim64a[15579]:,connect,4,71.200.68.118,Benjad
2012-04-01T14:31:38.906151+00:00,sim64a[15579]:,disconnect,4,71.200.68.118,Benjad
2012-04-01T14:31:50.568286+00:00,sim64a[15579]:,connect,4,71.200.68.118,Benjad
2012-04-01T14:35:39.820704+00:00,sim64a[15579]:,disconnect,4,71.200.68.118,Benjad
2012-04-01T14:35:50.959384+00:00,sim64a[15579]:,connect,4,71.200.68.118,Benjad
2012-04-01T14:37:38.449042+00:00,sim64a[15579]:,disconnect,4,71.200.68.118,Benjad
2012-04-01T14:37:49.274151+00:00,sim64a[15579]:,connect,4,71.200.68.118,Benjad
2012-04-01T14:43:33.113958+00:00,sim64a[15579]:,connect,5,92.40.13.97,SC
2012-04-01T14:43:39.963107+00:00,sim64a[15579]:,disconnect,4,71.200.68.118,Benjad
2012-04-01T14:47:16.763629+00:00,sim64a[15579]:,disconnect,5,92.40.13.97,SC
2012-04-01T14:54:14.364589+00:00,sim64a[15579]:,chat,3,177.33.96.209,edson,2,FedEx,:]
2012-04-01T15:01:53.082065+00:00,sim64a[15579]:,disconnect,2,80.132.158.159,Client#2
2012-04-01T15:02:04.022054+00:00,sim64a[15579]:,connect,2,177.33.96.209,edson
2012-04-01T15:02:08.961564+00:00,sim64a[15579]:,connect,4,80.132.158.159,Client#2
2012-04-01T15:02:09.134276+00:00,sim64a[15579]:,disconnect,3,177.33.96.209,edson
2012-04-01T15:10:26.574776+00:00,sim64a[15579]:,disconnect,2,177.33.96.209,edson
2012-04-01T15:11:05.406363+00:00,sim64a[15579]:,connect,2,74.58.98.105,Client#2
2012-04-01T15:13:16.858782+00:00,sim64a[15579]:,disconnect,2,74.58.98.105,Client#2
2012-04-01T15:24:34.233986+00:00,sim64a[15579]:,connect,2,177.33.96.209,edson
2012-04-01T15:37:45.733183+00:00,sim64a[15579]:,connect,3,190.73.89.1,bbbb
2012-04-01T15:40:08.302702+00:00,sim64a[15579]:,disconnect,3,190.73.89.1,bbbb
2012-04-01T15:41:37.468880+00:00,sim64a[15579]:,connect,3,190.73.89.1,bbbb
2012-04-01T15:44:35.438146+00:00,sim64a[15579]:,disconnect,3,190.73.89.1,bbbb
2012-04-01T15:47:46.828008+00:00,sim64a[15579]:,connect,3,190.73.89.1,bbbb
2012-04-01T15:47:55.511940+00:00,sim64a[15579]:,connect,5,80.132.158.159,Client#2
2012-04-01T15:47:55.603474+00:00,sim64a[15579]:,disconnect,4,80.132.158.159,Client#2
2012-04-01T15:49:36.721498+00:00,sim64a[15579]:,disconnect,3,190.73.89.1,bbbb
