2012-05-26T06:31:54.744382+00:00,sim128[24094]:,disconnect,8,220.245.52.25,Client#12
2012-05-26T06:32:02.771393+00:00,sim128[24094]:,connect,9,220.245.52.25,Client#12
2012-05-26T06:32:33.146132+00:00,sim128[24094]:,disconnect,9,220.245.52.25,Client#12
2012-05-26T06:32:41.210984+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#12
2012-05-26T06:35:22.976883+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#12
2012-05-26T06:35:38.079754+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#12
2012-05-26T06:36:09.798925+00:00,sim128[24094]:,connect,5,220.245.52.25,Client#12
2012-05-26T06:39:28.120075+00:00,sim128[24094]:,connect,6,220.245.52.25,Client#12
2012-05-26T06:42:41.054503+00:00,sim128[24094]:,connect,7,220.245.52.25,Client#12
2012-05-26T07:03:14.908040+00:00,sim128[24094]:,connect,8,220.245.52.25,Client#12
2012-05-26T07:24:43.849538+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#12
2012-05-26T07:24:43.849667+00:00,sim128[24094]:,disconnect,5,220.245.52.25,Client#12
2012-05-26T07:24:43.849795+00:00,sim128[24094]:,disconnect,6,220.245.52.25,Client#12
2012-05-26T07:24:43.849949+00:00,sim128[24094]:,disconnect,7,220.245.52.25,Client#12
2012-05-26T07:24:43.850107+00:00,sim128[24094]:,disconnect,8,220.245.52.25,Client#12
2012-05-26T07:24:56.521422+00:00,sim128[24094]:,connect,9,220.245.52.25,Client#12
2012-05-26T07:37:15.060599+00:00,sim128[24094]:,disconnect,9,220.245.52.25,Client#12
2012-05-26T07:37:25.636464+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#12
2012-05-26T08:27:15.562977+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#12
2012-05-26T08:27:32.169923+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#12
2012-05-26T08:42:07.005177+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#12
2012-05-26T08:42:13.204440+00:00,sim128[24094]:,connect,5,79.249.183.217,Client#1
2012-05-26T08:44:57.164886+00:00,sim128[24094]:,chat,5,79.249.183.217,Client#1,15,,HAHA!
