2012-06-10T16:25:48.734877+00:00,sim64a[29095]:,disconnect,2,201.92.201.6,Client#2
2012-06-10T16:26:49.727531+00:00,sim64a[29095]:,connect,2,201.83.92.216,edson
2012-06-10T16:29:46.022783+00:00,sim64a[29095]:,disconnect,2,201.83.92.216,edson
2012-06-10T16:30:14.940905+00:00,sim64a[29095]:,connect,2,201.83.92.216,edson
2012-06-10T16:31:15.631001+00:00,sim64a[29095]:,disconnect,2,201.83.92.216,edson
2012-06-10T16:55:57.054726+00:00,sim64a[29095]:,disconnect,4,98.141.195.146,Fifty
2012-06-10T16:56:06.964376+00:00,sim64a[29095]:,connect,2,91.33.8.85,Client#4
2012-06-10T17:01:54.610030+00:00,sim64a[29095]:,connect,3,91.156.248.26,Client#3
2012-06-10T17:03:25.709170+00:00,sim64a[29095]:,connect,4,187.122.247.215,IDD
2012-06-10T17:03:25.793522+00:00,sim64a[29095]:,disconnect,2,91.33.8.85,Client#4
2012-06-10T17:04:48.642211+00:00,sim64a[29095]:,disconnect,3,91.156.248.26,Client#3
2012-06-10T17:13:00.534911+00:00,sim64a[29095]:,connect,2,91.33.8.85,Client#4
2012-06-10T17:14:14.477348+00:00,sim64a[29095]:,connect,3,91.156.248.26,ythtyt
2012-06-10T17:17:07.337908+00:00,sim64a[29095]:,disconnect,3,91.156.248.26,ythtyt
2012-06-10T17:23:35.984418+00:00,sim64a[29095]:,disconnect,4,187.122.247.215,IDD
2012-06-10T17:24:30.244851+00:00,sim64a[29095]:,connect,3,187.122.247.215,IDD
2012-06-10T17:25:14.497697+00:00,sim64a[29095]:,disconnect,3,187.122.247.215,IDD
2012-06-10T17:26:08.390832+00:00,sim64a[29095]:,connect,3,187.122.247.215,IDD
2012-06-10T17:37:40.731844+00:00,sim64a[29095]:,disconnect,2,91.33.8.85,Client#4
2012-06-10T18:02:21.059342+00:00,sim64a[29095]:,connect,2,98.141.195.146,Fifty
2012-06-10T18:04:31.436272+00:00,sim64a[29095]:,disconnect,2,98.141.195.146,Fifty
2012-06-10T18:05:31.997608+00:00,sim64a[29095]:,connect,2,98.141.195.146,Fifty
2012-06-10T18:06:22.650518+00:00,sim64a[29095]:,disconnect,3,187.122.247.215,IDD
2012-06-10T18:25:56.109647+00:00,sim64a[29095]:,connect,3,201.8.149.18,Marcos Lima
2012-06-10T18:40:33.176212+00:00,sim64a[29095]:,connect,4,91.33.8.85,Client#4
2012-06-10T18:48:57.353004+00:00,sim64a[29095]:,connect,5,84.13.170.17,Client#2
2012-06-10T18:48:57.528069+00:00,sim64a[29095]:,disconnect,2,98.141.195.146,Fifty
2012-06-10T18:48:57.528391+00:00,sim64a[29095]:,disconnect,3,201.8.149.18,Marcos Lima
2012-06-10T18:49:38.221533+00:00,sim64a[29095]:,connect,2,98.141.195.146,Fifty
2012-06-10T18:51:35.206189+00:00,sim64a[29095]:,disconnect,2,98.141.195.146,Fifty
2012-06-10T19:08:27.354115+00:00,sim64a[29095]:,disconnect,5,84.13.170.17,Client#2
2012-06-10T19:10:57.914932+00:00,sim64a[29095]:,disconnect,4,91.33.8.85,Client#4
2012-06-10T19:42:21.863726+00:00,sim64a[29095]:,connect,2,187.34.214.193,Client#2
2012-06-10T19:57:31.279124+00:00,sim64a[29095]:,disconnect,2,187.34.214.193,Client#2
2012-06-10T19:58:00.403735+00:00,sim64a[29095]:,connect,3,98.141.195.146,Fifty
2012-06-10T20:01:24.607198+00:00,sim64a[29095]:,connect,2,84.2.124.37,Gábor
2012-06-10T20:03:10.108350+00:00,sim64a[29095]:,disconnect,2,84.2.124.37,Gábor
2012-06-10T22:08:06.770891+00:00,sim64a[29095]:,connect,2,91.156.248.26,ythtyt
