2012-07-14T10:27:56.022838+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-14T10:35:34.333973+00:00,sim64a[1453]:,connect,2,87.173.219.57,Client#2
2012-07-14T10:36:51.230122+00:00,sim64a[1453]:,disconnect,2,87.173.219.57,Client#2
2012-07-14T10:36:52.185228+00:00,sim64a[1453]:,disconnect,3,60.246.154.92,penhong
2012-07-14T10:37:17.534953+00:00,sim64a[1453]:,connect,2,60.246.154.92,penhong
2012-07-14T10:39:46.307814+00:00,sim64a[1453]:,disconnect,2,60.246.154.92,penhong
2012-07-14T10:40:15.051385+00:00,sim64a[1453]:,connect,2,60.246.154.92,penhong
2012-07-14T10:44:14.663808+00:00,sim64a[1453]:,disconnect,4,85.127.253.75,Client#4
2012-07-14T10:45:42.508986+00:00,sim64a[1453]:,disconnect,2,60.246.154.92,penhong
2012-07-14T10:47:49.229216+00:00,sim64a[1453]:,connect,2,60.246.154.92,penhong
2012-07-14T10:51:06.719984+00:00,sim64a[1453]:,disconnect,2,60.246.154.92,penhong
2012-07-14T10:51:57.751293+00:00,sim64a[1453]:,connect,2,60.246.154.92,penhong
2012-07-14T10:57:40.882993+00:00,sim64a[1453]:,disconnect,2,60.246.154.92,penhong
2012-07-14T10:58:05.747490+00:00,sim64a[1453]:,connect,2,60.246.154.92,penhong
2012-07-14T11:01:28.280631+00:00,sim64a[1453]:,disconnect,2,60.246.154.92,penhong
2012-07-14T13:38:51.364632+00:00,sim64a[1453]:,disconnect,5,91.18.21.181,Tobi
2012-07-14T13:38:59.937542+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-14T14:00:46.146654+00:00,sim64a[1453]:,connect,3,201.95.176.119,Client#3
2012-07-14T14:13:45.839607+00:00,sim64a[1453]:,disconnect,3,201.95.176.119,Client#3
2012-07-14T14:20:14.634718+00:00,sim64a[1453]:,connect,3,60.246.190.139,penhong
2012-07-14T14:26:04.548153+00:00,sim64a[1453]:,connect,4,87.12.59.180,gimi
2012-07-14T14:26:04.615557+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-14T14:36:45.565194+00:00,sim64a[1453]:,disconnect,4,87.12.59.180,gimi
2012-07-14T14:36:58.723040+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-14T14:44:55.497961+00:00,sim64a[1453]:,disconnect,3,60.246.190.139,penhong
2012-07-14T14:46:38.073140+00:00,sim64a[1453]:,connect,3,201.95.176.119,Client#3
2012-07-14T14:48:05.403300+00:00,sim64a[1453]:,disconnect,3,201.95.176.119,Client#3
2012-07-14T14:48:31.164646+00:00,sim64a[1453]:,connect,3,60.246.190.139,penhong
2012-07-14T14:52:45.618016+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-14T14:52:58.562422+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-14T14:54:23.496054+00:00,sim64a[1453]:,disconnect,3,60.246.190.139,penhong
2012-07-14T14:54:57.542338+00:00,sim64a[1453]:,connect,3,60.246.190.139,penhong
2012-07-14T14:57:45.555598+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-14T14:57:58.692836+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-14T15:00:59.745665+00:00,sim64a[1453]:,disconnect,3,60.246.190.139,penhong
2012-07-14T15:01:34.968729+00:00,sim64a[1453]:,connect,3,60.246.190.139,penhong
2012-07-14T15:02:45.582588+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-14T15:02:52.622256+00:00,sim64a[1453]:,disconnect,3,60.246.190.139,penhong
2012-07-14T15:03:24.036791+00:00,sim64a[1453]:,connect,2,60.246.190.139,penhong
2012-07-14T15:04:44.239154+00:00,sim64a[1453]:,disconnect,2,60.246.190.139,penhong
2012-07-14T15:05:14.501611+00:00,sim64a[1453]:,connect,3,60.246.190.139,penhong
2012-07-14T15:14:32.128695+00:00,sim64a[1453]:,disconnect,3,60.246.190.139,penhong
2012-07-14T15:14:57.849185+00:00,sim64a[1453]:,connect,2,60.246.190.139,penhong
2012-07-14T15:21:27.050087+00:00,sim64a[1453]:,connect,3,87.12.59.180,gimi
2012-07-14T15:23:33.741579+00:00,sim64a[1453]:,disconnect,2,60.246.190.139,penhong
2012-07-14T15:30:44.550752+00:00,sim64a[1453]:,connect,2,60.246.190.139,penhong
2012-07-14T15:30:45.604902+00:00,sim64a[1453]:,disconnect,3,87.12.59.180,gimi
2012-07-14T15:43:57.512893+00:00,sim64a[1453]:,disconnect,2,60.246.190.139,penhong
2012-07-14T15:44:40.721442+00:00,sim64a[1453]:,connect,3,60.246.190.139,penhong
2012-07-14T15:45:11.840441+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-14T15:48:42.893039+00:00,sim64a[1453]:,disconnect,3,60.246.190.139,penhong
2012-07-14T16:01:00.707292+00:00,sim64a[1453]:,connect,3,60.246.190.139,penhong
2012-07-14T16:04:45.478769+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-14T16:05:04.577342+00:00,sim64a[1453]:,disconnect,3,60.246.190.139,penhong
2012-07-14T16:06:11.160186+00:00,sim64a[1453]:,connect,2,60.246.190.139,penhong
2012-07-14T16:10:03.130840+00:00,sim64a[1453]:,connect,3,60.246.190.139,penhong
2012-07-14T16:12:36.876790+00:00,sim64a[1453]:,disconnect,2,60.246.190.139,penhong
2012-07-14T16:12:36.876829+00:00,sim64a[1453]:,disconnect,3,60.246.190.139,penhong
2012-07-14T16:13:14.633007+00:00,sim64a[1453]:,connect,4,60.246.190.139,penhong
2012-07-14T16:35:35.935138+00:00,sim64a[1453]:,connect,2,60.246.190.139,penhong
2012-07-14T16:38:59.426868+00:00,sim64a[1453]:,disconnect,2,60.246.190.139,penhong
2012-07-14T16:38:59.427145+00:00,sim64a[1453]:,disconnect,4,60.246.190.139,penhong
2012-07-14T16:39:37.495710+00:00,sim64a[1453]:,connect,3,60.246.190.139,penhong
2012-07-14T16:41:16.955484+00:00,sim64a[1453]:,disconnect,3,60.246.190.139,penhong
2012-07-14T16:41:57.356025+00:00,sim64a[1453]:,connect,2,60.246.190.139,penhong
2012-07-14T16:43:21.583341+00:00,sim64a[1453]:,connect,3,201.95.176.119,Eric Costa Marques
2012-07-14T16:45:48.995593+00:00,sim64a[1453]:,disconnect,3,201.95.176.119,Eric Costa Marques
2012-07-14T16:46:45.301939+00:00,sim64a[1453]:,connect,3,60.246.190.139,penhong
2012-07-14T16:48:12.398266+00:00,sim64a[1453]:,disconnect,2,60.246.190.139,penhong
2012-07-14T16:48:12.398539+00:00,sim64a[1453]:,disconnect,3,60.246.190.139,penhong
2012-07-14T17:23:38.194624+00:00,sim64a[1453]:,connect,2,201.1.33.80,Eric Costa Marques
2012-07-14T18:33:55.258848+00:00,sim64a[1453]:,disconnect,2,201.1.33.80,Eric Costa Marques
2012-07-14T18:34:07.509149+00:00,sim64a[1453]:,connect,3,91.113.65.181,Client#3
2012-07-14T22:28:22.556991+00:00,sim64a[1453]:,connect,2,69.138.176.94,Fifty
2012-07-14T22:31:58.814134+00:00,sim64a[1453]:,disconnect,2,69.138.176.94,Fifty
2012-07-14T22:31:58.814376+00:00,sim64a[1453]:,disconnect,3,91.113.65.181,Client#3
