2012-07-17T14:11:33.570219+00:00,sim64a[1453]:,connect,3,60.246.152.113,Client#3
2012-07-17T14:15:28.216786+00:00,sim64a[1453]:,connect,4,87.12.59.180,gimi
2012-07-17T14:16:29.431068+00:00,sim64a[1453]:,disconnect,4,87.12.59.180,gimi
2012-07-17T14:16:43.245994+00:00,sim64a[1453]:,connect,4,87.12.59.180,gimi
2012-07-17T14:19:04.500211+00:00,sim64a[1453]:,disconnect,3,60.246.152.113,Client#3
2012-07-17T14:19:54.047683+00:00,sim64a[1453]:,connect,3,60.246.152.113,Client#3
2012-07-17T14:22:29.340146+00:00,sim64a[1453]:,disconnect,4,87.12.59.180,gimi
2012-07-17T14:22:43.642646+00:00,sim64a[1453]:,connect,4,87.12.59.180,gimi
2012-07-17T14:26:21.260069+00:00,sim64a[1453]:,disconnect,2,60.246.152.113,penhong
2012-07-17T14:26:43.180692+00:00,sim64a[1453]:,disconnect,3,60.246.152.113,Client#3
2012-07-17T14:27:34.630697+00:00,sim64a[1453]:,connect,2,60.246.152.113,penhong
2012-07-17T14:31:58.442227+00:00,sim64a[1453]:,disconnect,2,60.246.152.113,penhong
2012-07-17T14:33:38.278223+00:00,sim64a[1453]:,connect,2,60.246.152.113,penhong
2012-07-17T14:35:51.932936+00:00,sim64a[1453]:,disconnect,2,60.246.152.113,penhong
2012-07-17T14:36:38.067127+00:00,sim64a[1453]:,connect,2,60.246.152.113,penhong
2012-07-17T14:38:29.439382+00:00,sim64a[1453]:,disconnect,4,87.12.59.180,gimi
2012-07-17T14:38:43.341716+00:00,sim64a[1453]:,connect,3,87.12.59.180,gimi
2012-07-17T14:40:15.834301+00:00,sim64a[1453]:,disconnect,2,60.246.152.113,penhong
2012-07-17T14:41:06.249766+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-17T14:44:45.398582+00:00,sim64a[1453]:,connect,4,60.246.152.113,penhong
2012-07-17T14:44:45.577156+00:00,sim64a[1453]:,disconnect,3,87.12.59.180,gimi
2012-07-17T14:47:29.413590+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-17T14:57:28.023505+00:00,sim64a[1453]:,connect,2,60.246.152.113,penhong
2012-07-17T15:16:58.026818+00:00,sim64a[1453]:,connect,3,87.12.59.180,gimi
2012-07-17T15:16:58.125816+00:00,sim64a[1453]:,disconnect,4,60.246.152.113,penhong
2012-07-17T15:20:39.403800+00:00,sim64a[1453]:,disconnect,2,60.246.152.113,penhong
2012-07-17T15:53:25.931870+00:00,sim64a[1453]:,connect,2,217.194.162.112,JohnBlack
2012-07-17T15:54:31.983279+00:00,sim64a[1453]:,disconnect,2,217.194.162.112,JohnBlack
2012-07-17T16:06:08.198714+00:00,sim64a[1453]:,connect,2,60.246.152.113,penhong
2012-07-17T16:16:12.133287+00:00,sim64a[1453]:,disconnect,2,60.246.152.113,penhong
2012-07-17T16:16:58.861646+00:00,sim64a[1453]:,connect,2,60.246.152.113,penhong
2012-07-17T16:19:29.441305+00:00,sim64a[1453]:,disconnect,3,87.12.59.180,gimi
2012-07-17T16:19:43.788654+00:00,sim64a[1453]:,connect,3,87.12.59.180,gimi
2012-07-17T16:22:41.170796+00:00,sim64a[1453]:,disconnect,2,60.246.152.113,penhong
2012-07-17T16:36:36.750567+00:00,sim64a[1453]:,connect,2,60.246.152.113,penhong
2012-07-17T16:51:29.404458+00:00,sim64a[1453]:,disconnect,3,87.12.59.180,gimi
2012-07-17T16:51:34.080882+00:00,sim64a[1453]:,disconnect,2,60.246.152.113,penhong
2012-07-17T16:51:43.815936+00:00,sim64a[1453]:,connect,3,87.12.59.180,gimi
2012-07-17T16:52:11.292845+00:00,sim64a[1453]:,connect,2,60.246.152.113,penhong
2012-07-17T16:55:11.629129+00:00,sim64a[1453]:,disconnect,2,60.246.152.113,penhong
2012-07-17T16:55:44.078701+00:00,sim64a[1453]:,connect,2,60.246.152.113,penhong
2012-07-17T16:57:29.693874+00:00,sim64a[1453]:,disconnect,3,87.12.59.180,gimi
2012-07-17T17:04:30.017784+00:00,sim64a[1453]:,connect,3,87.12.59.180,gimi
2012-07-17T17:06:29.402776+00:00,sim64a[1453]:,disconnect,3,87.12.59.180,gimi
2012-07-17T17:06:43.456953+00:00,sim64a[1453]:,connect,3,87.12.59.180,gimi
2012-07-17T17:08:31.870397+00:00,sim64a[1453]:,disconnect,2,60.246.152.113,penhong
2012-07-17T17:11:27.060315+00:00,sim64a[1453]:,connect,2,60.246.152.113,penhong
2012-07-17T17:12:41.875393+00:00,sim64a[1453]:,disconnect,2,60.246.152.113,penhong
2012-07-17T17:14:58.594307+00:00,sim64a[1453]:,connect,2,80.132.160.253,Client#2
2012-07-17T17:16:29.409731+00:00,sim64a[1453]:,disconnect,3,87.12.59.180,gimi
2012-07-17T17:47:11.101633+00:00,sim64a[1453]:,disconnect,2,80.132.160.253,Client#2
2012-07-17T17:47:47.475075+00:00,sim64a[1453]:,connect,3,98.141.195.146,Fifty
